id	decision	reason
1	KEEP	KEEP
2	DROP	NOT_FALSIFIABLE
3	DROP	NOT_FALSIFIABLE
4	KEEP	KEEP
5	KEEP	KEEP
6	DROP	NOT_FALSIFIABLE
7	KEEP	KEEP
8	DROP	NOT_FALSIFIABLE
9	KEEP	KEEP
10	KEEP	KEEP
11	KEEP	KEEP
12	DROP	NOT_FALSIFIABLE
13	DROP	NOT_FALSIFIABLE
14	DROP	BOTH
15	KEEP	KEEP
16	DROP	NOT_LOAD_BEARING
17	DROP	NOT_FALSIFIABLE
18	DROP	NOT_LOAD_BEARING
19	KEEP	KEEP
20	DROP	NOT_FALSIFIABLE
21	DROP	NOT_LOAD_BEARING
22	DROP	NOT_FALSIFIABLE
23	DROP	NOT_LOAD_BEARING
24	KEEP	KEEP
25	KEEP	KEEP
26	KEEP	KEEP
27	KEEP	KEEP
28	DROP	NOT_FALSIFIABLE
29	KEEP	KEEP
30	DROP	NOT_LOAD_BEARING
31	KEEP	KEEP
32	KEEP	KEEP
33	DROP	NOT_LOAD_BEARING
34	KEEP	KEEP
35	KEEP	KEEP
36	KEEP	KEEP
37	DROP	NOT_FALSIFIABLE
38	KEEP	KEEP
39	DROP	NOT_FALSIFIABLE
40	DROP	NOT_FALSIFIABLE
41	DROP	NOT_LOAD_BEARING
42	DROP	NOT_FALSIFIABLE
43	DROP	BOTH
44	KEEP	KEEP
45	KEEP	KEEP
46	DROP	NOT_FALSIFIABLE
47	KEEP	KEEP
48	KEEP	KEEP
49	DROP	NOT_FALSIFIABLE
50	DROP	NOT_FALSIFIABLE
51	DROP	NOT_FALSIFIABLE
52	DROP	NOT_LOAD_BEARING
53	KEEP	KEEP
54	DROP	NOT_FALSIFIABLE
55	DROP	NOT_FALSIFIABLE
56	DROP	NOT_FALSIFIABLE
57	DROP	NOT_FALSIFIABLE
58	KEEP	KEEP
59	KEEP	KEEP
60	KEEP	KEEP
61	KEEP	KEEP
62	KEEP	KEEP
63	KEEP	KEEP
64	KEEP	KEEP
65	KEEP	KEEP
66	DROP	NOT_FALSIFIABLE
67	KEEP	KEEP
68	KEEP	KEEP
69	KEEP	KEEP
70	KEEP	KEEP
71	KEEP	KEEP
72	KEEP	KEEP
73	KEEP	KEEP
74	KEEP	KEEP
75	KEEP	KEEP
76	KEEP	KEEP
77	KEEP	KEEP
78	KEEP	KEEP
79	KEEP	KEEP
80	DROP	NOT_LOAD_BEARING
81	DROP	NOT_FALSIFIABLE
82	DROP	NOT_FALSIFIABLE
83	KEEP	KEEP
